Step,Seconds,UAV_ID,UAV_X,UAV_Y,UAV_Z,Yaw,VehicleID,X,Y,Speed
79,39.5,0,1458.79,985.86,0.0,0,,,,
79,39.5,1,1488.73,846.56,0.0,0,,,,
79,39.5,2,1524.62,718.15,0.0,0,,,,
80,40.0,0,1458.79,985.86,0.0,0,,,,
80,40.0,1,1488.73,846.56,0.0,0,,,,
80,40.0,2,1524.62,718.15,0.0,0,,,,
81,40.5,0,1458.79,985.86,0.0,0,,,,
81,40.5,1,1488.73,846.56,0.0,0,,,,
81,40.5,2,1524.62,718.15,0.0,0,,,,
82,41.0,0,1458.79,985.86,0.0,0,,,,
82,41.0,1,1488.73,846.56,0.0,0,,,,
82,41.0,2,1524.62,718.15,0.0,0,,,,
83,41.5,0,1458.79,985.86,0.0,0,,,,
83,41.5,1,1488.73,846.56,0.0,0,,,,
83,41.5,2,1524.62,718.15,0.0,0,,,,
84,42.0,0,1458.79,985.86,0.0,0,,,,
84,42.0,1,1488.73,846.56,0.0,0,,,,
84,42.0,2,1524.62,718.15,0.0,0,,,,
85,42.5,0,1458.79,985.86,0.0,0,,,,
85,42.5,1,1488.73,846.56,0.0,0,,,,
85,42.5,2,1524.62,718.15,0.0,0,,,,
86,43.0,0,1458.79,985.86,0.0,0,,,,
86,43.0,1,1488.73,846.56,0.0,0,,,,
86,43.0,2,1524.62,718.15,0.0,0,,,,
87,43.5,0,1458.79,985.86,0.0,0,,,,
87,43.5,1,1488.73,846.56,0.0,0,,,,
87,43.5,2,1524.62,718.15,0.0,0,,,,
88,44.0,0,1458.79,985.86,0.0,0,,,,
88,44.0,1,1488.73,846.56,0.0,0,,,,
88,44.0,2,1524.62,718.15,0.0,0,,,,
89,44.5,0,1458.79,985.86,0.0,0,,,,
89,44.5,1,1488.73,846.56,0.0,0,,,,
89,44.5,2,1524.62,718.15,0.0,0,,,,
90,45.0,0,1458.79,985.86,0.0,0,,,,
90,45.0,1,1488.73,846.56,0.0,0,,,,
90,45.0,2,1524.62,718.15,0.0,0,,,,
91,45.5,0,1458.79,985.86,0.0,0,,,,
91,45.5,1,1488.73,846.56,0.0,0,,,,
91,45.5,2,1524.62,718.15,0.0,0,,,,
92,46.0,0,1458.79,985.86,0.0,0,,,,
92,46.0,1,1488.73,846.56,0.0,0,,,,
92,46.0,2,1524.62,718.15,0.0,0,,,,
93,46.5,0,1458.79,985.86,0.0,0,,,,
93,46.5,1,1488.73,846.56,0.0,0,,,,
93,46.5,2,1524.62,718.15,0.0,0,,,,
94,47.0,0,1458.79,985.86,0.0,0,,,,
94,47.0,1,1488.73,846.56,0.0,0,,,,
94,47.0,2,1524.62,718.15,0.0,0,,,,
95,47.5,0,1458.79,985.86,0.0,0,,,,
95,47.5,1,1488.73,846.56,0.0,0,,,,
95,47.5,2,1524.62,718.15,0.0,0,,,,
96,48.0,0,1458.79,985.86,0.0,0,,,,
96,48.0,1,1488.73,846.56,0.0,0,,,,
96,48.0,2,1524.62,718.15,0.0,0,,,,
97,48.5,0,1458.79,985.86,0.0,0,,,,
97,48.5,1,1488.73,846.56,0.0,0,,,,
97,48.5,2,1524.62,718.15,0.0,0,,,,
98,49.0,0,1458.79,985.86,0.0,0,,,,
98,49.0,1,1488.73,846.56,0.0,0,,,,
98,49.0,2,1524.62,718.15,0.0,0,,,,
99,49.5,0,1458.79,985.86,0.0,0,,,,
99,49.5,1,1488.73,846.56,0.0,0,,,,
99,49.5,2,1524.62,718.15,0.0,0,,,,
100,50.0,0,1458.79,985.86,7.142857142857143,0,,,,
100,50.0,1,1488.73,846.56,7.142857142857143,0,,,,
100,50.0,2,1524.62,718.15,7.142857142857143,0,,,,
101,50.5,0,1458.79,985.86,14.285714285714286,0,,,,
101,50.5,1,1488.73,846.56,14.285714285714286,0,,,,
101,50.5,2,1524.62,718.15,14.285714285714286,0,,,,
102,51.0,0,1458.79,985.86,21.428571428571427,0,,,,
102,51.0,1,1488.73,846.56,21.428571428571427,0,,,,
102,51.0,2,1524.62,718.15,21.428571428571427,0,,,,
103,51.5,0,1458.79,985.86,28.571428571428573,0,,,,
103,51.5,1,1488.73,846.56,28.571428571428573,0,,,,
103,51.5,2,1524.62,718.15,28.571428571428573,0,,,,
104,52.0,0,1458.79,985.86,35.714285714285715,0,,,,
104,52.0,1,1488.73,846.56,35.714285714285715,0,,,,
104,52.0,2,1524.62,718.15,35.714285714285715,0,,,,
105,52.5,0,1458.79,985.86,42.857142857142854,0,,,,
